Average User Rating,User Rating Count,Price,Primary Genre,Genres,,,,,,,,,,,,,
4,3553,2.99,Games,"Games, Strategy, Puzzle",,,,,,,,,,,,,
3.5,284,1.99,Games,"Games, Strategy, Board",,,,,,,,,,,,,
3,8376,0,Games,"Games, Board, Strategy",,,,,,,,,,,,,
3.5,190394,0,Games,"Games, Strategy, Puzzle",,,,,,,,,,,,,
3.5,28,2.99,Games,"Games, Strategy, Board, Education",,,,,,,,,,,,,
3,47,0,Games,"Games, Entertainment, Strategy, Puzzle",,,,,,,,,,,,,
2.5,35,0,Games,"Games, Entertainment, Puzzle, Strategy",,,,,,,,,,,,,
2.5,125,0.99,Games,"Games, Strategy, Board",,,,,,,,,,,,,
2.5,44,0,Games,"Games, Strategy, Board, Entertainment",,,,,,,,,,,,,
2.5,184,0,Games,"Games, Casual, Strategy",,,,,,,,,,,,,
,,0,Games,"Games, Entertainment, Strategy, Puzzle",,,,,,,,,,,,,
3.5,5072,0,Games,"Games, Puzzle, Strategy",,,,,,,,,,,,,
3,526,0,Games,"Games, Strategy, Entertainment",,,,,,,,,,,,,
3.5,989,0.99,Games,"Games, Puzzle, Strategy",,,,,,,,,,,,,
2.5,2358,0,Games,"Games, Puzzle, Strategy, Entertainment",,,,,,,,,,,,,
3,112,0,Games,"Games, Strategy, Board",,,,,,,,,,,,,
3,112,0,Games,"Games, Strategy, Board",,,,,,,,,,,,,
3,504,0,Games,"Games, Board, Strategy",,,,,,,,,,,,,
3.5,95971,0,Games,"Games, Puzzle, Strategy",,,,,,,,,,,,,
3.5,357,0,Games,"Games, Strategy, Puzzle, Entertainment",,,,,,,,,,,,,
3,7,0.99,Games,"Games, Strategy, Entertainment, Board",,,,,,,,,,,,,
2,30,0.99,Entertainment,"Entertainment, Games, Casual, Strategy",,,,,,,,,,,,,
,,0,Games,"Games, Puzzle, Education, Strategy",,,,,,,,,,,,,
,,0.99,Games,"Games, Board, Entertainment, Strategy",,,,,,,,,,,,,
4,637,0.99,Games,"Games, Puzzle, Entertainment, Strategy",,,,,,,,,,,,,
3.5,1563,0,Games,"Games, Strategy, Puzzle",,,,,,,,,,,,,
4,41869,2.99,Games,"Games, Entertainment, Action, Strategy",,,,,,,,,,,,,
3.5,72428,0,Games,"Games, Entertainment, Strategy, Board",,,,,,,,,,,,,
2.5,190,0.99,Games,"Games, Board, Entertainment, Strategy",,,,,,,,,,,,,
2.5,69,2.99,Games,"Games, Strategy, Card, Entertainment",,,,,,,,,,,,,
4,523,2.99,Games,"Games, Strategy, Entertainment, Puzzle",,,,,,,,,,,,,
3.5,23,0,Games,"Games, Card, Strategy",,,,,,,,,,,,,
4,156,5.99,Games,"Games, Strategy, Board, Entertainment",,,,,,,,,,,,,
4,3062,7.99,Games,"Games, Board, Entertainment, Strategy",,,,,,,,,,,,,
3.5,2425,0.99,Games,"Games, Strategy, Puzzle",,,,,,,,,,,,,
3.5,518,2.99,Games,"Games, Puzzle, Entertainment, Strategy",,,,,,,,,,,,,
3.5,5488,0.99,Games,"Games, Strategy, Entertainment, Board",,,,,,,,,,,,,
2.5,3521,0,Games,"Games, Strategy, Board",,,,,,,,,,,,,
3.5,273687,0,Games,"Games, Strategy, Entertainment, Simulation",,,,,,,,,,,,,
3,67,0.99,Games,"Games, Strategy, Board",,,,,,,,,,,,,
3.5,5931,0,Games,"Games, Strategy, Entertainment, Action",,,,,,,,,,,,,
4,2798,1.99,Games,"Games, Board, Strategy, Entertainment",,,,,,,,,,,,,
4,16,2.99,Games,"Games, Board, Strategy",,,,,,,,,,,,,
4,483,7.99,Games,"Games, Board, Strategy",,,,,,,,,,,,,
3,75,2.99,Games,"Games, Entertainment, Puzzle, Strategy",,,,,,,,,,,,,
4,5629,4.99,Games,"Games, Strategy, Board, Entertainment",,,,,,,,,,,,,
3,2482,0.99,Games,"Games, Strategy, Board",,,,,,,,,,,,,
3.5,77,0.99,Games,"Games, Puzzle, Education, Strategy",,,,,,,,,,,,,
3,1461,0,Games,"Games, Strategy, Puzzle",,,,,,,,,,,,,
4,75,4.99,Games,"Games, Strategy, Board",,,,,,,,,,,,,
2.5,1741,0,Games,"Games, Entertainment, Card, Strategy",,,,,,,,,,,,,
2.5,6,0,Games,"Games, Strategy, Puzzle",,,,,,,,,,,,,
3,740,0.99,Games,"Games, Finance, Strategy, Simulation",,,,,,,,,,,,,
3,89,0.99,Games,"Games, Strategy, Word, Entertainment",,,,,,,,,,,,,
3,187,0,Games,"Games, Entertainment, Simulation, Strategy",,,,,,,,,,,,,
4,413,2.99,Games,"Games, Puzzle, Entertainment, Strategy",,,,,,,,,,,,,
,,3.99,Games,"Games, Strategy, Board",,,,,,,,,,,,,
,,3.99,Games,"Games, Strategy, Board",,,,,,,,,,,,,
3.5,9121,0,Games,"Games, Entertainment, Board, Strategy",,,,,,,,,,,,,
4.5,17056,0.99,Games,"Games, Strategy, Action, Entertainment",,,,,,,,,,,,,
2.5,17045,0,Games,"Games, Entertainment, Strategy, Role Playing",,,,,,,,,,,,,
3.5,42210,0,Games,"Games, Puzzle, Strategy, Entertainment",,,,,,,,,,,,,
2.5,1156,0,Games,"Games, Strategy, Entertainment, Puzzle",,,,,,,,,,,,,
2.5,20234,0,Games,"Games, Sports, Entertainment, Strategy",,,,,,,,,,,,,
3.5,7,0.99,Games,"Games, Entertainment, Casual, Strategy",,,,,,,,,,,,,
3.5,125,2.99,Games,"Games, Entertainment, Word, Strategy",,,,,,,,,,,,,
2.5,359,5.99,Games,"Games, Card, Entertainment, Strategy",,,,,,,,,,,,,
3,6,0.99,Games,"Games, Entertainment, Casual, Strategy",,,,,,,,,,,,,
4,101209,0,Games,"Games, Strategy, Action, Entertainment",,,,,,,,,,,,,
,,0.99,Games,"Games, Entertainment, Strategy, Casual",,,,,,,,,,,,,
3,4885,3.99,Games,"Games, Board, Strategy",,,,,,,,,,,,,
2,84,2.99,Games,"Games, Puzzle, Entertainment, Strategy",,,,,,,,,,,,,
3.5,13,2.99,Games,"Games, Entertainment, Puzzle, Strategy",,,,,,,,,,,,,
3.5,27,2.99,Games,"Games, Strategy, Board",,,,,,,,,,,,,
3.5,29495,0,Games,"Games, Entertainment, Strategy, Puzzle",,,,,,,,,,,,,
2.5,5462,0,Games,"Games, Entertainment, Adventure, Strategy",,,,,,,,,,,,,
3.5,19,0,Games,"Games, Strategy, Entertainment, Puzzle",,,,,,,,,,,,,
3.5,860,0,Games,"Games, Strategy, Action, Entertainment",,,,,,,,,,,,,
4.5,35199,2.99,Games,"Games, Strategy, Entertainment, Action",,,,,,,,,,,,,
3,5013,0,Games,"Games, Strategy, Action, Entertainment",,,,,,,,,,,,,
3.5,1119,2.99,Games,"Games, Entertainment, Strategy, Puzzle",,,,,,,,,,,,,
3.5,2606,4.99,Games,"Games, Board, Strategy",,,,,,,,,,,,,
4.5,863,3.99,Games,"Games, Board, Education, Strategy",,,,,,,,,,,,,
3,1926,0,Games,"Games, Strategy, Entertainment, Word",,,,,,,,,,,,,
2.5,1848,0,Games,"Games, Strategy, Board",,,,,,,,,,,,,
